"id","address","region","village","takeup_survey","age","male","delay","intensive","info_none","intensive.nondelay.peers","n.peers","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","default","info_takeup_rate","info_takeup_list","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","G"
11110057,"xihe2",1,"xihe",1,70,1,1,1,1,0,5,6,0,95,11.5,5,0,0,50,1,1,0,0,0.600000023841858,15,0,0,0,NA,1,0
11110058,"xihe2",1,"xihe",1,43,1,0,0,1,2,4,4,2,60,24,15,1,1,50,1,1,0,0,1,11,1,1,1,0,1,1
11110060,"xihe2",1,"xihe",0,45,1,1,1,0,0,5,5,1,50,10,10,0,0,50,1,1,0,1,0.600000023841858,15,0.399999976158142,1,0,NA,1,0
11110062,"xihe2",1,"xihe",1,43,1,1,1,0,1,3,5,2,100,62,NA,1,1,20,1,1,0,1,0.200000002980232,15,0.399999976158142,1,1,NA,1,1
11110063,"xihe2",1,"xihe",1,65,1,1,0,1,0,3,2,1,60,8,5,0,0,30,1,1,0,0,0.600000023841858,15,0,1,0,NA,1,0
11110070,"xihe2",1,"xihe",1,43,1,0,1,1,0,5,3,3,100,8.4,40,0,0,30,1,1,0,0,0.800000011920929,11,1,1,1,0,1,0
11110072,"xihe2",1,"xihe",1,47,1,0,0,1,0,3,4,2,100,9,35,1,0,50,1,1,0,0,0.200000002980232,11,0,1,1,0,1,0
11110073,"xihe2",1,"xihe",0,76,1,0,1,1,0,4,3,0,90,2.6,50,0,1,20,1,1,0,0,0,11,0,0,0,0,1,0
11110075,"xihe2",1,"xihe",1,66,1,1,1,1,1,3,8,1,100,23.6,10,0,0,30,1,1,0,0,0.600000023841858,15,0,1,0,NA,1,1
11110076,"xihe2",1,"xihe",0,46,1,1,1,0,0,4,4,1,100,40,10,0,1,20,1,1,0,1,0.600000023841858,15,0.199999988079071,1,0,NA,1,0
11110077,"xihe2",1,"xihe",1,62,1,0,1,1,1,2,3,1,100,3,NA,0,0,50,1,1,0,0,0.600000023841858,11,1,1,0,0,0,1
11110083,"xihe2",1,"xihe",1,76,1,1,1,0,1,5,6,0,100,8,NA,1,1,40,1,1,1,0,0.400000005960464,15,0,0,0,NA,0,1
11110085,"xihe2",1,"xihe",1,47,1,1,0,0,0,3,7,1,90,14,NA,0,1,50,1,1,1,0,1,15,0,1,0,NA,0,0
11110087,"xihe2",1,"xihe",0,66,1,1,1,1,1,4,2,1,30,5,NA,0,0,30,1,1,0,0,0.600000023841858,15,0,1,0,NA,0,1
11110089,"xihe2",1,"xihe",0,55,1,0,0,1,1,3,6,1,NA,27.9,20,1,1,20,1,1,0,0,1,11,0,1,0,0,1,1
11110090,"xihe2",1,"xihe",0,43,0,1,0,0,1,5,5,1,90,12.4,NA,0,0,50,0,1,1,0,0.600000023841858,15,0,1,0,NA,0,1
11110091,"xihe2",1,"xihe",0,60,1,1,1,1,1,3,12,1,90,22.7,NA,0,1,40,0,1,0,0,0.600000023841858,15,0,1,0,NA,1,1
11110092,"xihe2",1,"xihe",0,47,1,0,1,1,1,4,4,2,70,13,NA,0,1,50,0,1,0,0,0,11,0,1,1,1,0,1
11110093,"xihe2",1,"xihe",0,38,0,1,0,0,1,5,4,0,100,8,NA,0,1,20,1,1,1,0,0.200000002980232,15,0,0,0,NA,0,1
11110096,"xihe2",1,"xihe",0,58,1,1,0,1,0,4,10,0,60,10,NA,0,0,30,0,1,0,0,0.200000002980232,15,0,0,0,NA,0,0
11110097,"xihe2",1,"xihe",0,44,1,0,0,1,1,3,5,1,100,NA,NA,0,1,20,1,1,0,0,0.400000005960464,11,0,1,0,0,0,1
